task,algorithm,candidate,seed,best_cost,time_seconds,iterations,horizon,samples,randomizations,knots,spline,frequency,max_episode_steps,base_noise,parameters
pusht,cmaes,0,101,0.6673763990402222,0.12731486186385155,10,0.5,128,4,6,zero,100.0,50,0.4,"{""c_mean"":0.5,""std_max_ratio"":100.0,""std_min_ratio"":0.0}"
pusht,cmaes,1,100,0.6016205549240112,0.13589026359841228,10,0.5,128,4,6,zero,100.0,50,0.4,"{""c_mean"":1.0,""std_max_ratio"":100.0,""std_min_ratio"":0.0}"
pusht,cmaes,1,101,0.5580525398254395,0.1271689012646675,10,0.5,128,4,6,zero,100.0,50,0.4,"{""c_mean"":1.0,""std_max_ratio"":100.0,""std_min_ratio"":0.0}"
pusht,cmaes,2,100,0.6016205549240112,0.1350105730816722,10,0.5,128,4,6,zero,100.0,50,0.4,"{""c_mean"":1.0,""std_max_ratio"":100.0,""std_min_ratio"":0.1}"
pusht,cmaes,2,101,0.5580525398254395,0.1262878249399364,10,0.5,128,4,6,zero,100.0,50,0.4,"{""c_mean"":1.0,""std_max_ratio"":100.0,""std_min_ratio"":0.1}"
pusht,cem,0,100,0.503464937210083,0.13407533522695303,10,0.5,128,4,6,zero,100.0,50,0.4,"{""elite_fraction"":0.05,""explore_fraction"":0.0,""sigma_min_ratio"":0.1}"
pusht,cem,0,101,0.5584942102432251,0.12644297117367387,10,0.5,128,4,6,zero,100.0,50,0.4,"{""elite_fraction"":0.05,""explore_fraction"":0.0,""sigma_min_ratio"":0.1}"
pusht,cem,1,100,0.4982808232307434,0.1263982360251248,10,0.5,128,4,6,zero,100.0,50,0.4,"{""elite_fraction"":0.1,""explore_fraction"":0.25,""sigma_min_ratio"":0.25}"
pusht,cem,1,101,0.5142441391944885,0.12509684590622783,10,0.5,128,4,6,zero,100.0,50,0.4,"{""elite_fraction"":0.1,""explore_fraction"":0.25,""sigma_min_ratio"":0.25}"
pusht,cem,2,100,0.6380385160446167,0.13312841765582561,10,0.5,128,4,6,zero,100.0,50,0.4,"{""elite_fraction"":0.2,""explore_fraction"":0.5,""sigma_min_ratio"":0.5}"
pusht,cem,2,101,0.5431525707244873,0.12494640471413732,10,0.5,128,4,6,zero,100.0,50,0.4,"{""elite_fraction"":0.2,""explore_fraction"":0.5,""sigma_min_ratio"":0.5}"
pusht,ps,0,100,0.5453394055366516,0.12460447195917368,10,0.5,128,4,6,zero,100.0,50,0.4,{}
pusht,ps,0,101,0.5266824960708618,0.12480669608339667,10,0.5,128,4,6,zero,100.0,50,0.4,{}
pusht,dial,0,100,2.5589373111724854,0.13022192800417542,10,0.5,128,4,6,zero,100.0,50,0.4,"{""beta_horizon"":0.5,""beta_opt_iter"":0.5,""temperature_scale"":0.1}"
pusht,dial,0,101,0.9269659519195557,0.1253024791367352,10,0.5,128,4,6,zero,100.0,50,0.4,"{""beta_horizon"":0.5,""beta_opt_iter"":0.5,""temperature_scale"":0.1}"
pusht,dial,1,100,0.54222172498703,0.12444960279390216,10,0.5,128,4,6,zero,100.0,50,0.4,"{""beta_horizon"":1.0,""beta_opt_iter"":1.0,""temperature_scale"":1.0}"
pusht,dial,1,101,0.4965072274208069,0.12472020508721471,10,0.5,128,4,6,zero,100.0,50,0.4,"{""beta_horizon"":1.0,""beta_opt_iter"":1.0,""temperature_scale"":1.0}"
pusht,dial,2,100,0.5332945585250854,0.13406798290088773,10,0.5,128,4,6,zero,100.0,50,0.4,"{""beta_horizon"":2.0,""beta_opt_iter"":2.0,""temperature_scale"":10.0}"
pusht,dial,2,101,0.5452408790588379,0.12564900098368526,10,0.5,128,4,6,zero,100.0,50,0.4,"{""beta_horizon"":2.0,""beta_opt_iter"":2.0,""temperature_scale"":10.0}"
bugtrap,cbo,0,100,0.901573896408081,0.6663891058415174,20,1.0,32,1,11,zero,100.0,100,1.0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
bugtrap,cbo,0,101,1.0097572803497314,0.6415210897102952,20,1.0,32,1,11,zero,100.0,100,1.0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
bugtrap,cbo,1,100,0.9465178847312927,0.6875773561187088,20,1.0,32,1,11,zero,100.0,100,1.0,"{""consensus_weight"":1.0,""noise_weight"":7.0,""step_size"":0.1,""temperature_scale"":1.0}"
bugtrap,cbo,1,101,1.1286646127700806,0.665518069639802,20,1.0,32,1,11,zero,100.0,100,1.0,"{""consensus_weight"":1.0,""noise_weight"":7.0,""step_size"":0.1,""temperature_scale"":1.0}"
